date,lvl_sm,q_cms_s,lvl_mbs,q_mm_day
2010-01-01,105.0,1.68,142.05,0.1280656138638932
2010-01-02,105.0,1.74,142.05,0.1326393857876037
2010-01-03,105.0,1.74,142.05,0.1326393857876037
2010-01-04,105.0,1.79,142.05,0.1364508623906957
2010-01-05,105.0,1.85,142.05,0.1410246343144062
2010-01-06,105.0,1.85,142.05,0.1410246343144062
2010-01-07,105.0,1.9,142.05,0.1448361109174983
2010-01-08,105.0,1.96,142.05,0.1494098828412087
2010-01-09,105.0,1.96,142.05,0.1494098828412087
2010-01-10,105.0,1.96,142.05,0.1494098828412087
2010-01-11,105.0,1.96,142.05,0.1494098828412087
2010-01-12,105.0,1.96,142.05,0.1494098828412087
2010-01-13,105.0,1.96,142.05,0.1494098828412087
2010-01-14,106.0,1.94,142.06,0.1478852921999719
2010-01-15,106.0,1.94,142.06,0.1478852921999719
2010-01-16,107.0,1.97,142.07,0.1501721781618271
2010-01-17,107.0,1.97,142.07,0.1501721781618271
2010-01-18,107.0,1.97,142.07,0.1501721781618271
2010-01-19,108.0,2.01,142.08,0.1532213594443008
2010-01-20,108.0,2.07,142.08,0.1577951313680113
2010-01-21,109.0,2.1,142.09,0.1600820173298665
2010-01-22,109.0,2.1,142.09,0.1600820173298665
2010-01-23,110.0,2.14,142.1,0.1631311986123401
2010-01-24,110.0,2.14,142.1,0.1631311986123401
2010-01-25,110.0,2.14,142.1,0.1631311986123401
2010-01-26,110.0,2.14,142.1,0.1631311986123401
2010-01-27,110.0,2.14,142.1,0.1631311986123401
2010-01-28,111.0,2.11,142.11,0.1608443126504849
2010-01-29,111.0,2.05,142.11,0.1562705407267744
2010-01-30,111.0,1.99,142.11,0.151696768803064
2010-01-31,111.0,1.99,142.11,0.151696768803064
2010-02-01,111.0,1.93,142.11,0.1471229968793535
2010-02-02,111.0,1.8,142.11,0.1372131577113141
2010-02-03,111.0,1.74,142.11,0.1326393857876037
2010-02-04,110.0,1.65,142.1,0.125778727902038
2010-02-05,110.0,1.59,142.1,0.1212049559783275
2010-02-06,110.0,1.59,142.1,0.1212049559783275
2010-02-07,110.0,1.59,142.1,0.1212049559783275
2010-02-08,110.0,1.53,142.1,0.116631184054617
2010-02-09,110.0,1.53,142.1,0.116631184054617
2010-02-10,110.0,1.53,142.1,0.116631184054617
2010-02-11,110.0,1.53,142.1,0.116631184054617
2010-02-12,110.0,1.53,142.1,0.116631184054617
2010-02-13,110.0,1.46,142.1,0.1112951168102881
2010-02-14,110.0,1.46,142.1,0.1112951168102881
2010-02-15,110.0,1.46,142.1,0.1112951168102881
2010-02-16,110.0,1.46,142.1,0.1112951168102881
2010-02-17,110.0,1.46,142.1,0.1112951168102881
2010-02-18,110.0,1.4,142.1,0.1067213448865776
2010-02-19,110.0,1.4,142.1,0.1067213448865776
2010-02-20,110.0,1.4,142.1,0.1067213448865776
2010-02-21,110.0,1.34,142.1,0.1021475729628672
2010-02-22,110.0,1.34,142.1,0.1021475729628672
2010-02-23,110.0,1.34,142.1,0.1021475729628672
2010-02-24,111.0,1.3,142.11,0.0990983916803935
2010-02-25,111.0,1.3,142.11,0.0990983916803935
2010-02-26,111.0,1.24,142.11,0.0945246197566831
2010-02-27,111.0,1.24,142.11,0.0945246197566831
2010-02-28,111.0,1.24,142.11,0.0945246197566831
2010-03-01,110.0,1.22,142.1,0.0930000291154462
2010-03-02,110.0,1.22,142.1,0.0930000291154462
2010-03-03,110.0,1.22,142.1,0.0930000291154462
2010-03-04,110.0,1.22,142.1,0.0930000291154462
2010-03-05,110.0,1.22,142.1,0.0930000291154462
2010-03-06,109.0,1.26,142.09,0.0960492103979199
2010-03-07,109.0,1.26,142.09,0.0960492103979199
2010-03-08,108.0,1.3,142.08,0.0990983916803935
2010-03-09,108.0,1.3,142.08,0.0990983916803935
2010-03-10,107.0,1.33,142.07,0.1013852776422488
2010-03-11,107.0,1.39,142.07,0.1059590495659592
2010-03-12,106.0,1.43,142.06,0.1090082308484329
2010-03-13,105.0,1.46,142.05,0.1112951168102881
2010-03-14,104.0,1.49,142.04,0.1135820027721434
2010-03-15,103.0,1.51,142.03,0.1151065934133802
2010-03-16,103.0,1.51,142.03,0.1151065934133802
2010-03-17,103.0,1.57,142.03,0.1196803653370907
2010-03-18,103.0,1.62,142.03,0.1234918419401827
2010-03-19,103.0,1.67,142.03,0.1273033185432748
2010-03-20,103.0,1.73,142.03,0.1318770904669853
2010-03-21,103.0,1.73,142.03,0.1318770904669853
2010-03-22,103.0,1.78,142.03,0.1356885670700773
2010-03-23,103.0,1.84,142.03,0.1402623389937878
2010-03-24,103.0,1.89,142.03,0.1440738155968798
2010-03-25,104.0,1.98,142.04,0.1509344734824456
2010-03-26,104.0,2.04,142.04,0.155508245406156
2010-03-27,104.0,2.04,142.04,0.155508245406156
2010-03-28,104.0,2.09,142.04,0.1593197220092481
2010-03-29,104.0,2.2,142.04,0.1677049705360506
2010-03-30,104.0,2.31,142.04,0.1760902190628532
2010-03-31,104.0,2.42,142.04,0.1844754675896557
2010-04-01,104.0,2.53,142.04,0.1928607161164582
2010-04-02,104.0,2.7,142.04,0.2058197365669712
2010-04-03,105.0,2.86,142.05,0.2180164616968658
2010-04-04,105.0,3.02,142.05,0.2302131868267604
2010-04-05,106.0,3.19,142.06,0.2431722072772734
2010-04-06,107.0,3.42,142.07,0.2607049996514969
2010-04-07,108.0,3.66,142.08,0.2790000873463388
2010-04-08,108.0,3.89,142.08,0.2965328797205623
2010-04-09,109.0,4.14,142.09,0.3155902627360226
2010-04-10,110.0,4.45,142.1,0.3392214176751933
2010-04-11,133.0,6.67,142.33,0.5084509788524808
2010-04-12,121.0,5.77,142.21,0.4398443999968237
2010-04-13,121.0,6.07,142.21,0.4627132596153761
2010-04-14,131.0,7.36,142.31,0.5610493559751513
2010-04-15,135.0,8.37,142.35,0.6380411833576108
2010-04-16,140.0,9.5,142.4,0.7241805545874914
2010-04-17,148.0,11.4,142.48,0.8690166655049898
