date,lvl_sm,q_cms_s,lvl_mbs,q_mm_day
2010-01-01,256.0,,122.56,
2010-01-02,258.0,,122.58,
2010-01-03,259.0,,122.59,
2010-01-04,262.0,,122.62,
2010-01-05,263.0,,122.63,
2010-01-06,263.0,,122.63,
2010-01-07,263.0,,122.63,
2010-01-08,263.0,,122.63,
2010-01-09,263.0,,122.63,
2010-01-10,263.0,,122.63,
2010-01-11,263.0,,122.63,
2010-01-12,263.0,,122.63,
2010-01-13,263.0,,122.63,
2010-01-14,263.0,,122.63,
2010-01-15,262.0,,122.62,
2010-01-16,262.0,,122.62,
2010-01-17,262.0,,122.62,
2010-01-18,262.0,,122.62,
2010-01-19,262.0,,122.62,
2010-01-20,261.0,,122.61,
2010-01-21,261.0,,122.61,
2010-01-22,260.0,,122.6,
2010-01-23,260.0,,122.6,
2010-01-24,259.0,,122.59,
2010-01-25,258.0,,122.58,
2010-01-26,257.0,,122.57,
2010-01-27,256.0,,122.56,
2010-01-28,255.0,,122.55,
2010-01-29,255.0,,122.55,
2010-01-30,255.0,,122.55,
2010-01-31,255.0,,122.55,
2010-02-01,255.0,,122.55,
2010-02-02,255.0,,122.55,
2010-02-03,255.0,,122.55,
2010-02-04,255.0,,122.55,
2010-02-05,255.0,,122.55,
2010-02-06,254.0,,122.54,
2010-02-07,254.0,,122.54,
2010-02-08,255.0,,122.55,
2010-02-09,255.0,,122.55,
2010-02-10,256.0,,122.56,
2010-02-11,256.0,,122.56,
2010-02-12,257.0,,122.57,
2010-02-13,257.0,,122.57,
2010-02-14,257.0,,122.57,
2010-02-15,257.0,,122.57,
2010-02-16,257.0,,122.57,
2010-02-17,257.0,,122.57,
2010-02-18,256.0,,122.56,
2010-02-19,256.0,,122.56,
2010-02-20,256.0,,122.56,
2010-02-21,256.0,,122.56,
2010-02-22,255.0,,122.55,
2010-02-23,255.0,,122.55,
2010-02-24,255.0,,122.55,
2010-02-25,255.0,,122.55,
2010-02-26,255.0,,122.55,
2010-02-27,255.0,,122.55,
2010-02-28,255.0,,122.55,
2010-03-01,255.0,,122.55,
2010-03-02,256.0,,122.56,
2010-03-03,257.0,,122.57,
2010-03-04,258.0,,122.58,
2010-03-05,259.0,,122.59,
2010-03-06,261.0,,122.61,
2010-03-07,262.0,,122.62,
2010-03-08,262.0,,122.62,
2010-03-09,263.0,,122.63,
2010-03-10,264.0,,122.64,
2010-03-11,265.0,,122.65,
2010-03-12,266.0,,122.66,
2010-03-13,266.0,,122.66,
2010-03-14,267.0,,122.67,
2010-03-15,266.0,,122.66,
2010-03-16,266.0,,122.66,
2010-03-17,267.0,,122.67,
2010-03-18,268.0,,122.68,
2010-03-19,268.0,,122.68,
2010-03-20,268.0,,122.68,
2010-03-21,268.0,,122.68,
2010-03-22,269.0,,122.69,
2010-03-23,269.0,,122.69,
2010-03-24,269.0,,122.69,
2010-03-25,269.0,,122.69,
2010-03-26,270.0,,122.7,
2010-03-27,272.0,,122.72,
2010-03-28,274.0,,122.74,
2010-03-29,275.0,,122.75,
2010-03-30,276.0,,122.76,
2010-03-31,276.0,,122.76,
2010-04-01,276.0,,122.76,
2010-04-02,276.0,,122.76,
2010-04-03,276.0,,122.76,
2010-04-04,276.0,,122.76,
2010-04-05,279.0,,122.79,
2010-04-06,279.0,,122.79,
2010-04-07,282.0,,122.82,
2010-04-08,285.0,,122.85,
2010-04-09,295.0,,122.95,
2010-04-10,328.0,,123.28,
2010-04-11,354.0,,123.54,
2010-04-12,364.0,,123.64,
2010-04-13,370.0,,123.7,
2010-04-14,377.0,,123.77,
2010-04-15,382.0,,123.82,
2010-04-16,387.0,,123.87,
2010-04-17,384.0,,123.84,
2010-04-18,398.0,,123.98,
2010-04-19,428.0,,124.28,
