date,lvl_sm,q_cms_s,lvl_mbs,q_mm_day
2008-01-01,135.0,0.29,36.54,0.3024881387852667
2008-01-02,145.0,0.29,36.64,0.3024881387852667
2008-01-03,167.0,0.3,36.86,0.3129187642606207
2008-01-04,165.0,0.3,36.84,0.3129187642606207
2008-01-05,156.0,0.3,36.75,0.3129187642606207
2008-01-06,143.0,0.3,36.62,0.3129187642606207
2008-01-07,137.0,0.31,36.56,0.3233493897359747
2008-01-08,137.0,0.31,36.56,0.3233493897359747
2008-01-09,136.0,0.31,36.55,0.3233493897359747
2008-01-10,139.0,0.35,36.58,0.3650718916373908
2008-01-11,143.0,0.4,36.62,0.417225019014161
2008-01-12,135.0,0.31,36.54,0.3233493897359747
2008-01-13,154.0,0.54,36.73,0.5632537756691174
2008-01-14,157.0,0.58,36.76,0.6049762775705335
2008-01-15,153.0,0.54,36.72,0.5632537756691174
2008-01-16,158.0,0.6,36.77,0.6258375285212415
2008-01-17,157.0,0.59,36.76,0.6154069030458875
2008-01-18,159.0,0.62,36.78,0.6466987794719495
2008-01-19,161.0,0.64,36.8,0.6675600304226577
2008-01-20,164.0,0.69,36.83,0.7197131577994277
2008-01-21,162.0,0.65,36.81,0.6779906558980117
2008-01-22,139.0,0.35,36.58,0.3650718916373908
2008-01-23,136.0,0.28,36.55,0.2920575133099127
2008-01-24,135.0,0.26,36.54,0.2711962623592047
2008-01-25,137.0,0.28,36.56,0.2920575133099127
2008-01-26,132.0,0.23,36.51,0.2399043859331426
2008-01-27,133.0,0.24,36.52,0.2503350114084966
2008-01-28,132.0,0.24,36.51,0.2503350114084966
2008-01-29,153.0,0.25,36.72,0.2607656368838506
2008-01-30,133.0,0.25,36.52,0.2607656368838506
2008-01-31,136.0,0.29,36.55,0.3024881387852667
2008-02-01,137.0,0.31,36.56,0.3233493897359747
2008-02-02,142.0,0.38,36.61,0.3963637680634529
2008-02-03,145.0,0.45,36.64,0.4693781463909312
2008-02-04,141.0,0.42,36.6,0.4380862699648691
2008-02-05,140.0,0.42,36.59,0.4380862699648691
2008-02-06,139.0,0.42,36.58,0.4380862699648691
2008-02-07,137.0,0.41,36.56,0.427655644489515
2008-02-08,137.0,0.41,36.56,0.427655644489515
2008-02-09,138.0,0.44,36.57,0.4589475209155771
2008-02-10,138.0,0.44,36.57,0.4589475209155771
2008-02-11,137.0,0.43,36.56,0.4485168954402231
2008-02-12,139.0,0.45,36.58,0.4693781463909312
2008-02-13,141.0,0.47,36.6,0.4902393973416392
2008-02-14,145.0,0.49,36.64,0.5111006482923472
2008-02-15,166.0,0.51,36.85,0.5319618992430553
2008-02-16,194.0,0.53,37.13,0.5528231501937634
2008-02-17,182.0,0.54,37.01,0.5632537756691174
2008-02-18,171.0,0.56,36.9,0.5841150266198255
2008-02-19,164.0,0.58,36.83,0.6049762775705335
2008-02-20,165.0,0.6,36.84,0.6258375285212415
2008-02-21,157.0,0.62,36.76,0.6466987794719495
2008-02-22,155.0,0.64,36.74,0.6675600304226577
2008-02-23,147.0,0.53,36.66,0.5528231501937634
2008-02-24,167.0,0.59,36.86,0.6154069030458875
2008-02-25,170.0,0.64,36.89,0.6675600304226577
2008-02-26,161.0,0.7,36.8,0.7301437832747817
2008-02-27,153.0,0.59,36.72,0.6154069030458875
2008-02-28,154.0,0.61,36.73,0.6362681539965955
2008-02-29,157.0,0.65,36.76,0.6779906558980117
2008-03-01,154.0,0.61,36.73,0.6362681539965955
2008-03-02,156.0,0.6,36.75,0.6258375285212415
2008-03-03,157.0,0.59,36.76,0.6154069030458875
2008-03-04,160.0,0.59,36.79,0.6154069030458875
2008-03-05,170.0,0.58,36.89,0.6049762775705335
2008-03-06,174.0,0.57,36.93,0.5945456520951794
2008-03-07,172.0,0.56,36.91,0.5841150266198255
2008-03-08,156.0,0.56,36.75,0.5841150266198255
2008-03-09,142.0,0.55,36.61,0.5736844011444715
2008-03-10,141.0,0.54,36.6,0.5632537756691174
2008-03-11,144.0,0.63,36.63,0.6571294049473037
2008-03-12,144.0,0.67,36.63,0.6988519068487197
2008-03-13,149.0,0.84,36.68,0.8761725399297382
2008-03-14,153.0,0.99,36.72,1.0326319220600486
2008-03-15,169.0,1.55,36.88,1.616746948679874
2008-03-16,176.0,1.8,36.95,1.8775125855637247
2008-03-17,178.0,1.88,36.97,1.9609575893665567
2008-03-18,173.0,1.69,36.92,1.7627757053348303
2008-03-19,151.0,1.03,36.7,1.0743544239614646
2008-03-20,153.0,1.03,36.72,1.0743544239614646
2008-03-21,175.0,1.03,36.94,1.0743544239614646
2008-03-22,151.0,1.03,36.7,1.0743544239614646
2008-03-23,155.0,1.02,36.74,1.0639237984861103
2008-03-24,162.0,1.01,36.81,1.0534931730107566
2008-03-25,177.0,1.0,36.96,1.0430625475354025
2008-03-26,169.0,0.99,36.88,1.0326319220600486
2008-03-27,164.0,0.98,36.83,1.0222012965846945
2008-03-28,161.0,0.97,36.8,1.0117706711093404
2008-03-29,151.0,0.96,36.7,1.0013400456339865
2008-03-30,148.0,0.95,36.67,0.9909094201586324
2008-03-31,144.0,0.85,36.63,0.8866031654050922
2008-04-01,150.0,1.0,36.69,1.0430625475354025
2008-04-02,157.0,1.18,36.76,1.230813806091775
2008-04-03,180.0,1.95,36.99,2.033971967694035
2008-04-04,187.0,2.22,37.06,2.3155988555285942
2008-04-05,210.0,3.15,37.29,3.285647024736518
2008-04-06,220.0,3.6,37.39,3.7550251711274494
2008-04-07,218.0,3.51,37.37,3.661149541849263
2008-04-08,250.0,5.25,37.69,5.476078374560863
2008-04-09,286.0,7.59,38.05,7.916844735793705
2008-04-10,308.0,9.2,38.27,9.596175437325702
