date,lvl_sm,q_cms_s,lvl_mbs,q_mm_day
2008-01-01,764.0,0.7,21.62,0.0080535175415678
2008-01-02,763.0,0.74,21.61,0.0085137185439432
2008-01-03,763.0,0.76,21.61,0.0087438190451308
2008-01-04,762.0,0.78,21.6,0.0089739195463185
2008-01-05,762.0,0.78,21.6,0.0089739195463185
2008-01-06,762.0,0.78,21.6,0.0089739195463185
2008-01-07,762.0,0.78,21.6,0.0089739195463185
2008-01-08,762.0,0.78,21.6,0.0089739195463185
2008-01-09,762.0,0.78,21.6,0.0089739195463185
2008-01-10,760.0,0.77,21.58,0.0088588692957246
2008-01-11,759.0,0.77,21.57,0.0088588692957246
2008-01-12,757.0,0.77,21.55,0.0088588692957246
2008-01-13,755.0,0.76,21.53,0.0087438190451308
2008-01-14,753.0,0.76,21.51,0.0087438190451308
2008-01-15,751.0,0.75,21.49,0.008628768794537
2008-01-16,749.0,0.75,21.47,0.008628768794537
2008-01-17,747.0,0.74,21.45,0.0085137185439432
2008-01-18,746.0,0.74,21.44,0.0085137185439432
2008-01-19,743.0,0.73,21.41,0.0083986682933493
2008-01-20,741.0,0.73,21.39,0.0083986682933493
2008-01-21,739.0,0.72,21.37,0.0082836180427555
2008-01-22,736.0,0.72,21.34,0.0082836180427555
2008-01-23,734.0,0.71,21.32,0.0081685677921617
2008-01-24,731.0,0.71,21.29,0.0081685677921617
2008-01-25,726.0,0.7,21.24,0.0080535175415678
2008-01-26,723.0,0.7,21.21,0.0080535175415678
2008-01-27,720.0,0.69,21.18,0.007938467290974
2008-01-28,717.0,0.69,21.15,0.007938467290974
2008-01-29,713.0,0.68,21.11,0.0078234170403802
2008-01-30,707.0,0.67,21.05,0.0077083667897864
2008-01-31,703.0,0.65,21.01,0.0074782662885987
2008-02-01,697.0,0.62,20.95,0.0071331155368172
2008-02-02,694.0,0.6,20.92,0.0069030150356296
2008-02-03,691.0,0.59,20.89,0.0067879647850357
2008-02-04,688.0,0.57,20.86,0.0065578642838481
2008-02-05,686.0,0.56,20.84,0.0064428140332543
2008-02-06,684.0,0.55,20.82,0.0063277637826604
2008-02-07,683.0,0.54,20.81,0.0062127135320666
2008-02-08,681.0,0.53,20.79,0.0060976632814728
2008-02-09,680.0,0.53,20.78,0.0060976632814728
2008-02-10,679.0,0.53,20.77,0.0060976632814728
2008-02-11,678.0,0.54,20.76,0.0062127135320666
2008-02-12,678.0,0.54,20.76,0.0062127135320666
2008-02-13,677.0,0.54,20.75,0.0062127135320666
2008-02-14,677.0,0.54,20.75,0.0062127135320666
2008-02-15,676.0,0.54,20.74,0.0062127135320666
2008-02-16,676.0,0.54,20.74,0.0062127135320666
2008-02-17,675.0,0.54,20.73,0.0062127135320666
2008-02-18,674.0,0.55,20.72,0.0063277637826604
2008-02-19,673.0,0.55,20.71,0.0063277637826604
2008-02-20,673.0,0.55,20.71,0.0063277637826604
2008-02-21,674.0,0.55,20.72,0.0063277637826604
2008-02-22,678.0,0.57,20.76,0.0065578642838481
2008-02-23,682.0,0.59,20.8,0.0067879647850357
2008-02-24,686.0,0.61,20.84,0.0070180652862234
2008-02-25,689.0,0.62,20.87,0.0071331155368172
2008-02-26,690.0,0.63,20.880000000000003,0.0072481657874111
2008-02-27,691.0,0.63,20.89,0.0072481657874111
2008-02-28,693.0,0.64,20.91,0.0073632160380049
2008-02-29,695.0,0.65,20.93,0.0074782662885987
2008-03-01,697.0,0.66,20.95,0.0075933165391925
2008-03-02,699.0,0.67,20.97,0.0077083667897864
2008-03-03,701.0,,20.99,
2008-03-04,704.0,,21.02,
2008-03-05,706.0,,21.04,
2008-03-06,709.0,,21.07,
2008-03-07,710.0,,21.08,
2008-03-08,712.0,,21.1,
2008-03-09,714.0,,21.12,
2008-03-10,715.0,,21.130000000000003,
2008-03-11,717.0,,21.15,
2008-03-12,720.0,,21.18,
2008-03-13,721.0,,21.19,
2008-03-14,723.0,,21.21,
2008-03-15,724.0,,21.22,
2008-03-16,724.0,,21.22,
2008-03-17,726.0,,21.24,
2008-03-18,729.0,0.018,21.27,0.0002070904510688
2008-03-19,732.0,0.076,21.3,0.000874381904513
2008-03-20,733.0,0.098,21.31,0.0011274924558195
2008-03-21,734.0,0.12,21.32,0.0013806030071259
2008-03-22,735.0,0.14,21.33,0.0016107035083135
2008-03-23,737.0,0.18,21.35,0.0020709045106888
2008-03-24,741.0,0.25,21.39,0.0028762562648456
2008-03-25,744.0,0.32,21.42,0.0036816080190024
2008-03-26,749.0,0.42,21.47,0.0048321105249407
2008-03-27,759.0,0.62,21.57,0.0071331155368172
2008-03-28,768.0,0.82,21.66,0.0094341205486938
2008-03-29,776.0,0.99,21.74,0.0113899748087888
2008-03-30,782.0,1.12,21.8,0.0128856280665086
2008-03-31,786.0,1.21,21.84,0.013921080321853
2008-04-01,792.0,1.33,21.9,0.015301683328979
2008-04-02,799.0,1.51,21.97,0.0173725878396678
2008-04-03,800.0,1.55,21.98,0.0178327888420431
2008-04-04,803.0,1.66,22.01,0.0190983415985752
2008-04-05,804.0,1.73,22.02,0.019903693352732
2008-04-06,805.0,1.77,22.03,0.0203638943551073
2008-04-07,807.0,1.83,22.05,0.0210541958586703
2008-04-08,810.0,1.98,22.08,0.0227799496175777
2008-04-09,816.0,2.32,22.14,0.0266916581377678
